Column1;Column2;Column3
SW[1.000000] HW[1.100000] Date[1970-01-01 00:00:00];;
Timestamp; FSR1; FSR2
8482;3786;2843
8486;3789;2797
8489;3800;2766
8493;3803;2720
8496;3807;2679
8500;3818;2634
8503;3821;2575
8507;3832;2505
8510;3835;2411
8514;3847;2335
8518;3849;2250
8521;3850;2158
8525;3854;2031
8528;3864;1895
8532;3866;1744
8535;3869;1581
8539;3879;1420
8542;3883;1262
8546;3885;1115
8550;3896;1040
8553;3900;1034
8557;3914;1020
8560;3918;1016
8564;3930;1003
8567;3933;999
8571;3945;988
8575;3949;975
8578;3959;970
8582;3963;959
8585;3965;954
8589;3976;943
8592;3979;938
8596;3992;924
8599;3995;918
8603;3999;895
8607;4008;877
8610;4012;856
8614;4015;824
8617;4024;791
8621;4027;759
8624;4029;717
8628;4040;683
8631;4043;638
8635;4045;601
8639;4056;554
8642;4059;503
8646;4063;427
8649;4073;360
8653;4077;303
8656;4088;264
8660;4092;232
8663;4095;189
8667;4095;168
8671;4095;125
8674;4095;108
8678;4095;62
8681;4095;56
8685;4095;42
8688;4095;29
8692;4095;38
8695;4095;25
8699;4095;23
8703;4095;19
8706;4095;22
8710;4095;21
8713;4095;20
8717;4095;19
8720;4095;10
8724;4095;7
8728;4095;8
8731;4095;6
8735;4095;5
8738;4095;6
8742;4095;6
8745;4095;4
8749;4095;4
8752;4095;7
8756;4091;5
8760;4075;6
8763;4059;5
8767;4029;5
8770;3994;4
8774;3958;4
8777;3929;5
8781;3886;4
8784;3853;5
8788;3816;4
8792;3742;3
8795;3689;2
8799;3645;3
8802;3599;2
8806;3562;4
8809;3518;3
8813;3486;3
8816;3468;3
8820;3405;4
8824;3357;2
8827;3295;3
8831;3257;3
8834;3208;3
8838;3148;3
8841;3088;3
8845;3050;1
8849;2986;4
8852;2937;2
8856;2870;3
8859;2792;5
8863;2712;2
8866;2633;3
8870;2541;4
8873;2429;1
8877;2315;3
8881;2183;2
8884;2025;2
8888;1900;2
8891;1756;2
